RP_DATE,RP_URL,ORG_DATE,ORG_URL
2024-11-26T13:43:40+00:00,https://x.com/pj_sekai/status/1861405465126805882,2024-11-26T12:31:42+00:00,https://x.com/minoringo_staff/status/1861387351697801366
2024-11-26T13:43:35+00:00,https://x.com/pj_sekai/status/1861405443899433190,2024-11-26T12:37:32+00:00,https://x.com/AbbieIzumi/status/1861388820039770553
2024-11-26T13:43:04+00:00,https://x.com/pj_sekai/status/1861405311246180373,2024-11-26T12:44:21+00:00,https://x.com/Yuki_Nakashim/status/1861390534604136465
2024-11-26T13:42:59+00:00,https://x.com/pj_sekai/status/1861405292535390517,2024-11-26T12:41:42+00:00,https://x.com/ruriko_noguchi/status/1861389871321096387
2024-11-26T12:24:59+00:00,https://x.com/pj_sekai/status/1861385663003927016,2024-11-26T11:34:01+00:00,https://x.com/kee_no/status/1861372835538837668
2024-11-26T11:56:12+00:00,https://x.com/pj_sekai/status/1861378420665692582,2024-11-26T11:46:17+00:00,https://x.com/sekaisymphony/status/1861375923813261430
2024-11-26T11:56:09+00:00,https://x.com/pj_sekai/status/1861378405884928307,2024-11-26T11:45:08+00:00,https://x.com/pjsekai_live/status/1861375635274506550
2024-11-26T11:56:05+00:00,https://x.com/pj_sekai/status/1861378388625367217,2024-11-26T11:44:25+00:00,https://x.com/pjsekai_live/status/1861375454965571611
2024-11-26T11:56:02+00:00,https://x.com/pj_sekai/status/1861378375400694040,2024-11-26T11:43:33+00:00,https://x.com/pjsekai_live/status/1861375235481838055
2024-11-26T11:55:58+00:00,https://x.com/pj_sekai/status/1861378359630143610,2024-11-26T11:41:20+00:00,https://x.com/pjsekai_live/status/1861374679434531228
2024-11-26T11:55:55+00:00,https://x.com/pj_sekai/status/1861378348188107079,2024-11-26T11:40:21+00:00,https://x.com/pjsekai_live/status/1861374431618310443
2024-11-26T11:55:51+00:00,https://x.com/pj_sekai/status/1861378330513285215,2024-11-26T11:49:23+00:00,https://x.com/pjsekai_live/status/1861376704603922605
2024-11-26T11:55:47+00:00,https://x.com/pj_sekai/status/1861378313551597684,2024-11-26T11:38:54+00:00,https://x.com/pjsekai_live/status/1861374067359826203
